"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"496","CGHS Polyclinic, Ballard Estate","Public/ Government","Dispensary","Commerce House, Karimbhoy Street, Ballard Estate","Maharashtra","Mumbai","NA","400038","022 22619267","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"497","CGHS Polyclinic Koliwada","Public/ Government","Poly Clinic","Building No. 221, Sector I, Kane Nagar","Maharashtra","Mumbai","NA","400037","022 24013449","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"498","CGHS Polyclinic","Public/ Government","Dispensary","Katol Road, CPWD Quarters","Maharashtra","Nagpur","NA","NA","0712 2580299","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"499","CGHS Dispensary No. 1","Public/ Government","Dispensary","Katol Road, CPWD Quarters","Maharashtra","Nagpur","NA","NA","0712 2581773","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"500","CGHS Dispensary No. 2","Public/ Government","Dispensary","Civil Lines, CPWD Quarters","Maharashtra","Nagpur","NA","NA","0712 2560310","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"501","CGHS Dispensary No.2A","Public/ Government","Dispensary","Seminary Hills, CPWD Quarters","Maharashtra","Nagpur","NA","NA","0712 2511398","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"502","CGHS Dispensary No. 3","Public/ Government","Dispensary","Pachpaoli, Near Kamal Talkies","Maharashtra","Nagpur","NA","NA","0712 2640684","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"503","CGHS Dispensary No. 4","Public/ Government","Dispensary","Itwari, Ganga Bhavan, Tel.Exchange Square","Maharashtra","Nagpur","NA","NA","0712 2764600","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"504","CGHS Dispensary No. 5","Public/ Government","Dispensary","Med. Square, 80 Handa’s Building, Rambag","Maharashtra","Nagpur","NA","NA","0712 2744490","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"505","CGHS Dispensary No. 6","Public/ Government","Dispensary","Shankarnagar Dispensary,Shivajinagar","Maharashtra","Nagpur","NA","NA","0712 2549781","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"506","CGHS Dispensary No. 7","Public/ Government","Dispensary","Sitabuldi, ‘O’ Miles, RBI, Square","Maharashtra","Nagpur","NA","NA","0712 2565169","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"507","CGHS Dispensary No. 8","Public/ Government","Dispensary","Laxman Appartments, SaiMandir, Wardha Road","Maharashtra","Nagpur","NA","NA","0712 2226516","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"508","CGHS Dispensary No. 9","Public/ Government","Dispensary","Shakkardhara, Tiranga Chowk","Maharashtra","Nagpur","NA","NA","0712 2749379","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"509","NADT MiniatureCGHS Dispensary","Public/ Government","Dispensary","NADT, Complex, Chhindwada Road","Maharashtra","Nagpur","NA","NA","0712 2583609","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"510","CGHS Dispensary, Budha Marg","Public/ Government","Dispensary","CGHS Dispensary, Budha Marg","Bihar","Patna","NA","800001","0612 2221479","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"511","CGHS, Chajjubagh","Public/ Government","Dispensary","CGHS, Chajjubagh, Near AIRStation","Bihar","Patna","NA","800001","0612 2221819","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"512","CGHS Dispensary No. 1","Public/ Government","Dispensary","Qtr. No. 1,2 & 9, Bldg. No. 46, DAD Complex, Wanowrie Range","Maharashtra","Pune","NA","411040","020 24275430","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"513","CGHS Dispensary No. 2","Public/ Government","Dispensary","NA","Maharashtra","Pune","NA","NA","020 26693709","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"514","CGHS Dispensary No. 3","Public/ Government","Dispensary","CAD Chitragupta Complex, Hidayattullah Road","Maharashtra","Pune","NA","411042","020 26455163","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"515","CGHS Dispensary No. 4","Public/ Government","Dispensary","23, Mangalwar Peth","Maharashtra","Pune","NA","411011","020 26120018","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"516","CGHS Dispensary No. 5","Public/ Government","Dispensary","Armament Colony, Banashwada Road","Maharashtra","Pune","NA","411007","020 25652045","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"517","CGHS Dispensary","Public/ Government","Dispensary","NA","Maharashtra","Pune","NA","NA","020 25819776","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"518","CGHS Dispensary No. 7","Public/ Government","Dispensary","Swasthya Sadan, Mukund Nagar","Maharashtra","Pune","NA","411037","020 24266402","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"519","CGHS Polyclinic","Public/ Government","Dispensary","Swasthya Sadan, Mukund Nagar","Maharashtra","Pune","NA","411037","020 24269311","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"520","CGHS (New)","Public/ Government","Dispensary","Deep Villa, 10A, Purulia Road Kanta Toli","Bihar","Ranchi","NA","834001","0651 2482623","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"521","CGHS Dispensary No. I, Laitumkhrat","Public/ Government","Dispensary","Dispensary No. I, P.O. Laitumkhra","Meghalaya","Shillong","NA","793003","0364 2501569","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"522","CGHS, Dispensary No. 1","Public/ Government","Dispensary","3/120, Kesavadasapuram","Kerala","Trivendrum","NA","695004","0471 2443452","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"523","CGHS Dispensary No.2","Public/ Government","Dispensary","C.P. Gopalapanicker Lane,Sasthamangalam","Kerala","Trivendrum","NA","695010","0471 2728110","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"524","CGHS Dispensary No. 3","Public/ Government","Dispensary","Dharmadesan Lane, Vanchiyoor","Kerala","Trivendrum","NA","695035","0471 2471143","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"525","Delhi Government Ayush Dispensary, Ajmeri Gate","Public/ Government","Dispensary","Delhi Development Authority, Barat Ghar, Gali Shahtara","Delhi","Central Delhi","NA","110002","011 23215504","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"526","Delhi Government Ayush Dispensary, Aruna Asaf Ali Hospital","Public/ Government","Dispensary","Rajpur Road, Near Tis Hazari Court, Police Hospital","Delhi","Central Delhi","NA","110054","011 23984582","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"527","Delhi Government Ayush Dispensary, Bazar Guliyan","Public/ Government","Dispensary","DGD Gali Guliyan, Dispensary Building, Homoeopathic Unit, Paiwalan, Near Jama Masjid Police Station","Delhi","Central Delhi","NA","110006","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"528","Delhi Government Ayush Dispensary, Delhi Secretariat","Public/ Government","Dispensary","Delhi Secretariat, Homoeopathic Unit Room110, I.P. Estate","Delhi","Central Delhi","NA","110002","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"529","Delhi Government Ayush Dispensary, Gulabi Bagh","Public/ Government","Dispensary","Gulabi Bagh, PWD , Quarter 789,Type I, D.A. Flats","Delhi","Central Delhi","NA","110007","011 23654536","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"530","Delhi Government Ayush Dispensary, Hindustani Dawakhana","Public/ Government","Dispensary","Chandni Chowk","Delhi","Central Delhi","NA","110006","011 23928090","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"531","Delhi Government Ayush Dispensary, Inderlok","Public/ Government","Dispensary","Inderlok, Leased from (SEJJ), Community Centre","Delhi","Central Delhi","NA","110035","011 23653185","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"532","Delhi Government Ayush Dispensary, Sarai Rohilla","Public/ Government","Dispensary","Delhi Development Authority, Bagh Khare Khan, Block O, Quarter 103","Delhi","Central Delhi","NA","110035","011 23612478","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"533","Delhi Government Ayush Dispensary, Sui Walan","Public/ Government","Dispensary","Health Center Wakil WaliGali, Flat Number 15, 16","Delhi","Central Delhi","NA","110002","011 23280818","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"534","Delhi Government Ayush Dispensary, Tank Road","Public/ Government","Dispensary","Tank Road, Community Centre Building, Karol Bagh","Delhi","Central Delhi","NA","110005","011 25821162","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"535","Delhi Government Ayush Dispensary, Timar Pur","Public/ Government","Dispensary","Delhi Administration Staff Quarters, Colony","Delhi","Central Delhi","NA","110054","011 23811056","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"536","Delhi Government Ayush Dispensary, Bank Enclave","Public/ Government","Dispensary","Bank Enclave","Delhi","East Delhi","NA","110045","011 22433900","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"537","Delhi Government Ayush Dispensary, Chander Nagar","Public/ Government","Dispensary","Chander Nagar GOD (H) Dispensary Government Building","Delhi","East Delhi","NA","110051","011 22503754","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"538","Delhi Government Ayush Dispensary, Geeta Colony","Public/ Government","Dispensary","Geeta Colony, Government Dispensary, Building, 13 Block","Delhi","East Delhi","NA","110031","011 22443060","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"539","Delhi Government Ayush Dispensary, Himmat Puri","Public/ Government","Dispensary","Himmat Puri,Block 30 Extra Delhi Administration Building, J.J. Colony","Delhi","East Delhi","NA","110091","011 22782674","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"540","Delhi Government Ayush Dispensary, I.P Extension","Public/ Government","Dispensary","I.P Extension, Near Sai Baba mandir, Opposite Nation Vector School","Delhi","East Delhi","NA","110092","011 22248188","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"541","Delhi Government Ayush Dispensary, Kondli","Public/ Government","Dispensary","Block A, Mayur Vihar, Phase III","Delhi","East Delhi","NA","110096","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"542","Delhi Government Ayush Dispensary, L.B.S. Hospital","Public/ Government","Dispensary","Khichari Pur, Homeopathic Unit","Delhi","East Delhi","NA","110002","011 22773648","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"543","Delhi Government Ayush Dispensary, Mandawali","Public/ Government","Dispensary","Delhi Government Dispensary","Delhi","East Delhi","NA","110091","011 22475109","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"544","Delhi Government Ayush Dispensary, Trilok Puri","Public/ Government","Dispensary","Trilok Puri (Delhi Development Authority), Block 5, Delhi Administration Building, J.J. Colony","Delhi","East Delhi","NA","110092","011 22786158","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"545","Delhi Government Ayush Dispensary, VasundhraEnclave","Public/ Government","Dispensary","DAD Pavitra Appartment, Near Mamta Public School","Delhi","East Delhi","NA","110096","011 22618466","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"546","Delhi Government Ayush Dispensary, Preet vihar","Public/ Government","Dispensary","Department of Homoeopathic, Directorate of AYUSH, CSC III, Block B, 1st floor","Delhi","East Delhi","NA","NA","011 22440019011 22440020","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.635252","77.292933","Homoeopathy","Ayush/ Homoeopathy"
"547","Delhi Government Ayush Dispensary, Deen Dayal Upadhyay Hospital Unit","Public/ Government","Dispensary","Deen Dayal Upadhyay Hospital","Delhi","New Delhi","NA","110064","011 25141918","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"548","Delhi Government Ayush Dispensary, High Court","Public/ Government","Dispensary","High Court","Delhi","New Delhi","NA","110001","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"549","Delhi Government Ayush Dispensary, Nangal Raya","Public/ Government","Dispensary","Near Arya Samaj Mandir","Delhi","New Delhi","NA","110046","011 28524548","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"550","Delhi Government Ayush Dispensary, South Campus","Public/ Government","Dispensary","W.U.S. Centre, South Campus Delhi University","Delhi","New Delhi","NA","110021","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"551","Delhi Government Ayush Dispensary, Karol Bagh, Tibia College","Public/ Government","Dispensary","Ajmal Khan Road","Delhi","New Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.656220","77.194925","Ayurveda,Unani","Ayush/ Ayurveda/ Unani"
"552","Delhi Government Ayush Dispensary, Babu Jagjivan Ram Memorial Hospital","Public/ Government","Dispensary","Homeopathic Unit, Jahangir Puri","Delhi","North Delhi","NA","110060","011 27639050","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"553","Delhi Government Ayush Dispensary, Jahangir Puri","Public/ Government","Dispensary","B Block, Resettlement Colony","Delhi","North Delhi","NA","110033","011 27630330","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"554","Delhi Government Ayush Dispensary, Model Town","Public/ Government","Dispensary","Ist, F 3, Type IIIrd, Delhi Admn Flats, Ring Road","Delhi","North Delhi","NA","110009","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"555","Delhi Government Ayush Dispensary, RBTB Hospital","Public/ Government","Dispensary","Kingsway Camp","Delhi","North Delhi","NA","110009","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"556","Delhi Government Ayush Dispensary, Satyawadi Raja Harish Chand Hospital","Public/ Government","Dispensary","Narela","Delhi","North Delhi","NA","110040","011 27782777","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.840596","77.103334","Ayush","Ayush"
"557","Delhi Government Ayush Dispensary, Gokal Puri","Public/ Government","Dispensary","Delhi Development Authority, Resettlement Colony","Delhi","North East Delhi","NA","110051","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"558","Delhi Government Ayush Dispensary, Jagpravesh Chander Hospital","Public/ Government","Dispensary","Shastri Park","Delhi","North East Delhi","NA","110053","011 22186755","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.676222","77.262948","Ayush","Ayush"
"559","Delhi Government Ayush Dispensary, Khajuri Khass","Public/ Government","Dispensary","Delhi Government Dispensary Building, Near Government Boys Senior Secondary, First Dhalan","Delhi","North East Delhi","NA","110094","011 22962179","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"560","Delhi Government Ayush Dispensary, Seelam Pur","Public/ Government","Dispensary","Janta Flats, Welcome","Delhi","North East Delhi","NA","110053","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"561","Delhi Government Ayush Dispensary, East Loni Road","Public/ Government","Dispensary","MIG Flat","Delhi","North East Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"562","Delhi Government Ayush Dispensary, Attar Sain Jain Eye & General Hospital","Public/ Government","Dispensary","Homeopathic Unit, Lawrence Road","Delhi","North West Delhi","NA","110035","011 27154070","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"563","Delhi Government Ayush Dispensary, Bhagwan Mahavir Hospital","Public/ Government","Dispensary","Pittam Pura","Delhi","North West Delhi","NA","110034","011 27034201","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"564","Delhi Government Ayush Dispensary, Dr. Bhim Rao Ambedkar","Public/ Government","Dispensary","Rohini Sector 6","Delhi","North West Delhi","NA","110085","011 27062650","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"565","Delhi Government Ayush Dispensary, Jaidev Park","Public/ Government","Dispensary","House Number 47 and 48, Madan Park","Delhi","North West Delhi","NA","110026","011 28313568","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"566","Delhi Government Ayush Dispensary, Keshav Puram","Public/ Government","Dispensary","B 4, Near Tyagi Public School, Delhi Government Dispensary Building","Delhi","North West Delhi","NA","110035","011 27187143","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"567","Delhi Government Ayush Dispensary, Mahrishi Balmiki","Public/ Government","Dispensary","Pooth Khurd","Delhi","North West Delhi","NA","110039","011 27761530","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.775940","77.049610","Ayush","Ayush"
"568","Delhi Government Ayush Dispensary, Mangol Puri","Public/ Government","Dispensary","Delhi Development Authority,Resettlement Colony, A Block","Delhi","North West Delhi","NA","110043","011 27915791","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"569","Delhi Government Ayush Dispensary, Rohini Sector 18","Public/ Government","Dispensary","Delhi Government Dispensary Building","Delhi","North West Delhi","NA","110085","011 27894968","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"570","Delhi Government Ayush Dispensary, Rohini Sector 8","Public/ Government","Dispensary","Delhi Administration Building","Delhi","North West Delhi","NA","110088","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"571","Delhi Government Ayush Dispensary, Sanjay Gandhi Hospital","Public/ Government","Dispensary","Mangol Puri","Delhi","North West Delhi","NA","110083","011 27916989","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"572","Delhi Government Ayush Dispensary, Shakar Pur","Public/ Government","Dispensary","I Block, Delhi Development Authority Resettlement Colony","Delhi","North West Delhi","NA","110034","011 27156090","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"573","Delhi Government Ayush Dispensary, Shalimar Bagh","Public/ Government","Dispensary","BB Block, Delhi Development Authority","Delhi","North West Delhi","NA","110034","011 27480574","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"574","Delhi Government Ayush Dispensary, Sultan Puri","Public/ Government","Dispensary","Delhi Development Authority, Resettlement Colony, B 3","Delhi","North West Delhi","NA","110083","011 25483517","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"575","Delhi Government Ayush Dispensary, Vishakha Enclave","Public/ Government","Dispensary","CD Block, Pittam Pura","Delhi","North West Delhi","NA","110034","011 27318674","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"576","Delhi Government Ayush Dispensary, Wazirpur Phase 3","Public/ Government","Dispensary","NA","Delhi","North West Delhi","NA","110052","011 27418173","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"577","Delhi Government Ayush Dispensary, Bhola Nath Nagar","Public/ Government","Dispensary","Bhola Nath Nagar, House 294, Shahdara","Delhi","Shahdara","NA","110032","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"578","Delhi Government Ayush Dispensary, East Azad Nagar","Public/ Government","Dispensary","Delhi Government Dispensary","Delhi","Shahdara","NA","110051","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"579","Delhi Government Ayush Dispensary, Guru Teg Bahadur Hospital","Public/ Government","Dispensary","Dilshad Garden","Delhi","Shahdara","NA","110095","011 22598444","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.683812","77.309895","Ayush","Ayush"
"580","Delhi Government Ayush Dispensary, Hedgawar Arogya Sansthan","Public/ Government","Dispensary","Karkardooma","Delhi","Shahdara","NA","110032","011 22305151","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"581","Delhi Government Ayush Dispensary, IHBAS Homoeo Unit","Public/ Government","Dispensary","OPD, Room 14 IHBAS Jhilmil, Dilshad Garden","Delhi","Shahdara","NA","110095","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"582","Delhi Government Ayush Dispensary, Kanti Nagar","Public/ Government","Dispensary","Kanti Nagar, GOD (Health) Centre, B 99, Ist Floor","Delhi","Shahdara","NA","110051","011 22962179","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"583","Delhi Government Ayush Dispensary, Karkardooma","Public/ Government","Dispensary","187, Type III, Karkardooma Flats","Delhi","Shahdara","NA","110092","011 22375727","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"584","Delhi Government Ayush Dispensary, KarkardoomaCourt","Public/ Government","Dispensary","NA","Delhi","Shahdara","NA","110032","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"585","Delhi Government Ayush Dispensary, Nand Nagri","Public/ Government","Dispensary","Delhi Development Authority, Resettlement Colony","Delhi","Shahdara","NA","110093","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
